region,gear,season,vessel_size,area,days
South,Longlines,spring,small,a,22126.6027975382
South,Longlines,spring,small,a,14920.9534912109
South,Longlines,spring,small,a,25439.305560646
South,Longlines,spring,small,a,19175.3439375834
South,Longlines,spring,small,a,19194.537754456
North,Trawlers,spring,small,a,6635.14693944968
North,Trawlers,spring,small,a,6242.62088363725
North,Trawlers,spring,small,a,8961.23022581278
North,Trawlers,spring,small,a,6375.97982948188
North,Trawlers,spring,small,a,7797.56907184033
North,Trawlers,spring,small,a,9873.23144235352
North,Trawlers,spring,small,a,3369.00225689265
North,Trawlers,spring,small,a,5982.81495343271
North,Trawlers,spring,small,a,10746.31920936
North,Trawlers,spring,small,a,5374.98803746123
South,Trawlers,spring,small,a,6234.02911988228
South,Trawlers,spring,small,a,7272.2821844444
South,Trawlers,spring,small,a,6672.38857873033
South,Trawlers,spring,small,a,8278.16795830977
South,Trawlers,spring,small,a,4903.86333088307
South,Trawlers,spring,small,a,10260.5827075291
South,Trawlers,spring,small,a,8831.02953074902
South,Trawlers,spring,small,a,12597.9087692136
South,Trawlers,spring,small,a,8547.60096793338
South,Trawlers,spring,small,a,7905.15644910316
North,Gillnets,summer,small,a,70350.9716989911
North,Gillnets,summer,small,a,56659.0810074117
North,Gillnets,summer,small,a,57905.9200294741
North,Gillnets,summer,small,a,72149.3009621541
North,Gillnets,summer,small,a,33506.4540175199
North,Gillnets,summer,small,a,79045.5433751888
North,Gillnets,summer,small,a,45868.2596398597
North,Gillnets,summer,small,a,63077.0674209754
North,Gillnets,summer,small,a,101662.559653497
North,Gillnets,summer,small,a,57594.5557675993
South,Gillnets,summer,small,a,38425.5820964604
South,Gillnets,summer,small,a,41250.8171711746
South,Gillnets,summer,small,a,27135.1865163498
South,Gillnets,summer,small,a,39652.7679399216
South,Gillnets,summer,small,a,35921.0638108655
South,Gillnets,summer,small,a,23162.8558119283
South,Gillnets,summer,small,a,22286.3954840052
South,Gillnets,summer,small,a,28974.2942023382
South,Gillnets,summer,small,a,30549.8275517249
South,Gillnets,summer,small,a,24249.5402916064
North,Longlines,summer,small,a,23639.9899769621
North,Longlines,summer,small,a,28004.9424368327
North,Longlines,summer,small,a,15987.5677891665
North,Longlines,summer,small,a,22114.2813660001
North,Longlines,summer,small,a,20404.2606040761
North,Longlines,summer,small,a,27936.7875582216
North,Longlines,summer,small,a,20024.6356680214
North,Longlines,summer,small,a,11936.7594934444
North,Longlines,summer,small,a,20106.650335295
North,Longlines,summer,small,a,14240.5387961574
South,Longlines,summer,small,a,21496.7967130899
South,Longlines,summer,small,a,32258.2581636222
South,Longlines,summer,small,a,30939.8535282429
South,Longlines,summer,small,a,20637.497339466
South,Longlines,summer,small,a,15472.4740690366
South,Longlines,summer,small,a,30491.9768365813
South,Longlines,summer,small,a,21415.6455298282
South,Longlines,summer,small,a,24285.4642693432
South,Longlines,summer,small,a,23564.7396777527
South,Longlines,summer,small,a,17335.2885191393
North,Trawlers,summer,small,a,3622.19319068711
North,Trawlers,summer,small,a,3513.49985945699
North,Trawlers,summer,small,a,3805.90829472009
North,Trawlers,summer,small,a,5527.41391992964
North,Trawlers,summer,small,a,2584.27539032905
North,Trawlers,summer,small,a,4284.45217197513
North,Trawlers,summer,small,a,6252.99693158323
North,Trawlers,summer,small,a,5280.80701036543
North,Trawlers,summer,small,a,4222.20895306984
North,Trawlers,summer,small,a,3978.27724926232
South,Trawlers,summer,small,a,6758.29500753751
South,Trawlers,summer,small,a,7127.41688042295
South,Trawlers,summer,small,a,5264.51824260565
South,Trawlers,summer,small,a,5558.83278360695
South,Trawlers,summer,small,a,5104.17602214689
South,Trawlers,summer,small,a,3630.22308867421
South,Trawlers,summer,small,a,4026.76325793967
South,Trawlers,summer,small,a,3290.61957131111
South,Trawlers,summer,small,a,5546.69966676192
South,Trawlers,summer,small,a,3416.89481087109
North,Gillnets,fall,small,a,72844.866017627
North,Gillnets,fall,small,a,68200.7710586926
North,Gillnets,fall,small,a,50413.8787477772
North,Gillnets,fall,small,a,41006.7992831907
North,Gillnets,fall,small,a,71934.4213415725
North,Gillnets,fall,small,a,59665.2040183118
North,Gillnets,fall,small,a,77425.6633028043
North,Gillnets,fall,small,a,42388.2046241922
North,Gillnets,fall,small,a,49958.9384357995
North,Gillnets,fall,small,a,58094.8935506768
South,Gillnets,fall,small,a,36093.9477590517
South,Gillnets,fall,small,a,36939.9084496397
South,Gillnets,fall,small,a,36064.9389350885
South,Gillnets,fall,small,a,14159.7639566901
South,Gillnets,fall,small,a,26264.5333499382
South,Gillnets,fall,small,a,29232.9944000525
South,Gillnets,fall,small,a,27868.9025709241
South,Gillnets,fall,small,a,20245.3129897557
South,Gillnets,fall,small,a,22725.6064690181
South,Gillnets,fall,small,a,28946.1535518134
North,Longlines,fall,small,a,11662.1811732672
North,Longlines,fall,small,a,12197.9850013633
North,Longlines,fall,small,a,5781.43289117482
North,Longlines,fall,small,a,12322.754864603
North,Longlines,fall,small,a,9664.59991242511
North,Longlines,fall,small,a,14748.1024934915
North,Longlines,fall,small,a,13927.1936504991
North,Longlines,fall,small,a,10092.2077855846
North,Longlines,fall,small,a,11327.6862542969
North,Longlines,fall,small,a,13826.4581423776
South,Longlines,fall,small,a,10525.7375038743
South,Longlines,fall,small,a,10409.278685655
South,Longlines,fall,small,a,9759.6474998736
South,Longlines,fall,small,a,10255.4600667819
South,Longlines,fall,small,a,12219.0729351368
South,Longlines,fall,small,a,7718.91860071061
South,Longlines,fall,small,a,10400.9114581993
South,Longlines,fall,small,a,17545.8356693858
South,Longlines,fall,small,a,11929.191010914
South,Longlines,fall,small,a,9378.35758336377
North,Trawlers,fall,small,a,6377.41086151891
North,Trawlers,fall,small,a,7942.57595451717
North,Trawlers,fall,small,a,8318.43626193637
North,Trawlers,fall,small,a,5779.99692999556
North,Trawlers,fall,small,a,6486.71411509654
North,Trawlers,fall,small,a,8342.47604952265
North,Trawlers,fall,small,a,6853.33899147938
North,Trawlers,fall,small,a,8316.46498554128
North,Trawlers,fall,small,a,6835.52657194322
North,Trawlers,fall,small,a,5232.44814536267
South,Trawlers,fall,small,a,8157.14165848075
South,Trawlers,fall,small,a,5942.27488965321
South,Trawlers,fall,small,a,5345.40393523415
South,Trawlers,fall,small,a,7713.94436573673
South,Trawlers,fall,small,a,8850.79800617167
South,Trawlers,fall,small,a,6536.83542819329
South,Trawlers,fall,small,a,4328.07375503493
South,Trawlers,fall,small,a,8941.89145411
South,Trawlers,fall,small,a,7874.33514758868
South,Trawlers,fall,small,a,6536.91027979699
North,Gillnets,winter,large,a,40421.4144141161
North,Gillnets,winter,large,a,69065.1481731653
North,Gillnets,winter,large,a,47352.8127514138
North,Gillnets,winter,large,a,34332.7471019865
North,Gillnets,winter,large,a,42192.3565271842
North,Gillnets,winter,large,a,58714.0526849743
North,Gillnets,winter,large,a,46453.5962672414
North,Gillnets,winter,large,a,37113.763995002
North,Gillnets,winter,large,a,53107.4810862186
North,Gillnets,winter,large,a,37222.0753304772
South,Gillnets,winter,large,a,11959.8498376895
South,Gillnets,winter,large,a,18637.2984188203
South,Gillnets,winter,large,a,22864.3752571065
South,Gillnets,winter,large,a,24105.6297605916
South,Gillnets,winter,large,a,28228.2174456488
South,Gillnets,winter,large,a,22559.5229344351
South,Gillnets,winter,large,a,14867.4175906979
South,Gillnets,winter,large,a,17249.6003798316
South,Gillnets,winter,large,a,30637.9605981406
South,Gillnets,winter,large,a,23866.1613563358
North,Longlines,winter,large,a,6346.75847528385
North,Longlines,winter,large,a,6694.62733188784
North,Longlines,winter,large,a,7530.67072282517
North,Longlines,winter,large,a,12426.2974788977
North,Longlines,winter,large,a,7991.98991288246
North,Longlines,winter,large,a,8343.00209695721
North,Longlines,winter,large,a,8797.74532325799
North,Longlines,winter,large,a,9440.44262833376
North,Longlines,winter,large,a,9370.68975710281
North,Longlines,winter,large,a,10144.1694349615
South,Longlines,winter,large,a,8054.78237013933
South,Longlines,winter,large,a,12159.445227729
South,Longlines,winter,large,a,9546.03183662766
South,Longlines,winter,large,a,5413.58885742991
South,Longlines,winter,large,a,7802.89681021259
South,Longlines,winter,large,a,9165.03647387467
South,Longlines,winter,large,a,11335.1234832526
South,Longlines,winter,large,a,7000.06825320916
South,Longlines,winter,large,a,12306.7666413148
South,Longlines,winter,large,a,9674.24402424734
North,Trawlers,winter,large,a,6589.72458572319
North,Trawlers,winter,large,a,6225.40678268808
North,Trawlers,winter,large,a,5251.56230647544
North,Trawlers,winter,large,a,5523.10690130604
North,Trawlers,winter,large,a,5787.4967952861
North,Trawlers,winter,large,a,5630.91304654144
North,Trawlers,winter,large,a,5264.20424419791
North,Trawlers,winter,large,a,6210.61791980134
North,Trawlers,winter,large,a,6897.29500554419
North,Trawlers,winter,large,a,9451.08268774078
South,Trawlers,winter,large,a,6615.53329435999
South,Trawlers,winter,large,a,5944.94909901555
South,Trawlers,winter,large,a,5657.36348036487
South,Trawlers,winter,large,a,4952.56664003359
South,Trawlers,winter,large,a,5762.51713592821
South,Trawlers,winter,large,a,5204.86776034966
South,Trawlers,winter,large,a,6588.11674312943
South,Trawlers,winter,large,a,6689.67614853597
South,Trawlers,winter,large,a,7481.26181899515
South,Trawlers,winter,large,a,7947.99005998538
North,Gillnets,spring,large,a,125973.085478934
North,Gillnets,spring,large,a,119348.740316918
North,Gillnets,spring,large,a,107426.547574411
North,Gillnets,spring,large,a,139525.405344065
North,Gillnets,spring,large,a,138956.592581851
North,Gillnets,spring,large,a,110344.847845063
North,Gillnets,spring,large,a,119620.240345634
North,Gillnets,spring,large,a,122049.12714434
North,Gillnets,spring,large,a,79810.7462417486
North,Gillnets,spring,large,a,112208.578709243
South,Gillnets,spring,large,a,60543.1413904674
South,Gillnets,spring,large,a,39470.1366856252
South,Gillnets,spring,large,a,40785.4968498086
South,Gillnets,spring,large,a,69050.26020163
South,Gillnets,spring,large,a,44087.4520629988
South,Gillnets,spring,large,a,46227.5764135835
South,Gillnets,spring,large,a,67606.9781286213
South,Gillnets,spring,large,a,78186.030596046
South,Gillnets,spring,large,a,71415.6596906111
South,Gillnets,spring,large,a,49513.4834252113
North,Longlines,spring,large,a,19406.6250404034
North,Longlines,spring,large,a,23522.3313873939
North,Longlines,spring,large,a,20171.9800756579
North,Longlines,spring,large,a,13449.330106034
North,Longlines,spring,large,a,17988.5818859849
North,Longlines,spring,large,a,19052.6302150741
North,Longlines,spring,large,a,25500.1009906743
North,Longlines,spring,large,a,21452.5618144289
North,Longlines,spring,large,a,28771.9371830487
North,Longlines,spring,large,a,24925.3472709301
South,Longlines,spring,large,a,14758.3316362812
South,Longlines,spring,large,a,20533.8314706428
South,Longlines,spring,large,a,25875.9374168296
South,Longlines,spring,large,a,21187.6387219443
South,Longlines,spring,large,a,25190.7255444475
South,Longlines,spring,large,a,17079.3817771221
South,Longlines,spring,large,a,22795.1670366963
South,Longlines,spring,large,a,16070.3100803594
South,Longlines,spring,large,a,25219.2940338433
South,Longlines,spring,large,a,23515.3328741437
North,Trawlers,spring,large,a,8445.28722688568
North,Trawlers,spring,large,a,9397.56008993621
North,Trawlers,spring,large,a,10488.7348767312
North,Trawlers,spring,large,a,8909.08368169043
North,Trawlers,spring,large,a,6821.95232263199
North,Trawlers,spring,large,a,8382.28735892808
North,Trawlers,spring,large,a,6960.55956597107
North,Trawlers,spring,large,a,9217.21805647183
North,Trawlers,spring,large,a,7730.43673498666
North,Trawlers,spring,large,a,7242.77562647786
South,Trawlers,spring,large,a,8040.69166295315
South,Trawlers,spring,large,a,8273.9677495183
South,Trawlers,spring,large,a,5979.06296765341
South,Trawlers,spring,large,a,5778.46798689506
South,Trawlers,spring,large,a,7054.28935071138
South,Trawlers,spring,large,a,6838.57207069361
South,Trawlers,spring,large,a,10593.808239783
South,Trawlers,spring,large,a,4042.62654434132
South,Trawlers,spring,large,a,5455.83548330525
South,Trawlers,spring,large,a,4853.62432736432
North,Gillnets,summer,large,a,71226.1634164359
North,Gillnets,summer,large,a,31839.5804828572
North,Gillnets,summer,large,a,70675.5858755511
North,Gillnets,summer,large,a,47459.7969183422
North,Gillnets,summer,large,a,35155.9734510101
North,Gillnets,summer,large,a,57378.3322921854
North,Gillnets,summer,large,a,47092.3058464529
North,Gillnets,summer,large,a,53452.9355995308
North,Gillnets,summer,large,a,38102.7119428559
North,Gillnets,summer,large,a,65371.5946934528
South,Gillnets,summer,large,a,37674.57345676
South,Gillnets,summer,large,a,28702.1332677021
South,Gillnets,summer,large,a,21604.6493107119
South,Gillnets,summer,large,a,44947.3245319342
South,Gillnets,summer,large,a,43011.103334487
South,Gillnets,summer,large,a,31698.7366075192
South,Gillnets,summer,large,a,29767.6398003467
South,Gillnets,summer,large,a,24661.7782547751
South,Gillnets,summer,large,a,20989.9295247855
South,Gillnets,summer,large,a,26496.5313950832
North,Longlines,summer,large,a,21384.0071979545
North,Longlines,summer,large,a,24144.9794315957
North,Longlines,summer,large,a,18131.9475210457
North,Longlines,summer,large,a,16786.4399917502
North,Longlines,summer,large,a,21629.2863244838
North,Longlines,summer,large,a,18485.1744046342
North,Longlines,summer,large,a,20615.8591610991
North,Longlines,summer,large,a,17020.468215586
North,Longlines,summer,large,a,20777.9599323716
North,Longlines,summer,large,a,12760.734688836
South,Longlines,summer,large,a,24651.5460674063
South,Longlines,summer,large,a,23533.5490408336
South,Longlines,summer,large,a,20090.2802138419
South,Longlines,summer,large,a,19256.1582215586
South,Longlines,summer,large,a,22072.6486247663
South,Longlines,summer,large,a,20236.4588129116
South,Longlines,summer,large,a,23952.1143022043
South,Longlines,summer,large,a,19821.6485490814
South,Longlines,summer,large,a,14095.1033451732
South,Longlines,summer,large,a,20608.9488985274
North,Trawlers,summer,large,a,3049.79749465154
North,Trawlers,summer,large,a,4901.26293293041
North,Trawlers,summer,large,a,5526.90854449742
North,Trawlers,summer,large,a,5051.99493764483
North,Trawlers,summer,large,a,5802.87134574876
North,Trawlers,summer,large,a,6115.48420766282
North,Trawlers,summer,large,a,4378.91353720243
North,Trawlers,summer,large,a,6385.4304119691
North,Trawlers,summer,large,a,4523.26434463076
North,Trawlers,summer,large,a,5421.58685565885
South,Trawlers,summer,large,a,4694.02834228771
South,Trawlers,summer,large,a,5165.32056091987
South,Trawlers,summer,large,a,3896.38695191626
South,Trawlers,summer,large,a,3793.93980584244
South,Trawlers,summer,large,a,7161.30440692326
South,Trawlers,summer,large,a,5735.5189755521
South,Trawlers,summer,large,a,4195.62741048994
South,Trawlers,summer,large,a,3598.77329161224
South,Trawlers,summer,large,a,4096.60289721779
South,Trawlers,summer,large,a,4147.72008722726
North,Gillnets,fall,large,a,32288.9634885855
North,Gillnets,fall,large,a,41595.0526227962
North,Gillnets,fall,large,a,33842.1208824658
North,Gillnets,fall,large,a,58648.0018479995
North,Gillnets,fall,large,a,54340.2695149444
North,Gillnets,fall,large,a,66881.5592833434
North,Gillnets,fall,large,a,53547.1040355075
North,Gillnets,fall,large,a,49066.9308697137
North,Gillnets,fall,large,a,56267.5715713773
North,Gillnets,fall,large,a,50210.3687271748
South,Gillnets,fall,large,a,22666.1649555097
South,Gillnets,fall,large,a,27100.873368761
South,Gillnets,fall,large,a,32203.0757972555
South,Gillnets,fall,large,a,21291.0870486992
South,Gillnets,fall,large,a,23857.6866180687
South,Gillnets,fall,large,a,20974.1169723299
South,Gillnets,fall,large,a,28081.7279281874
South,Gillnets,fall,large,a,35182.0198282972
South,Gillnets,fall,large,a,21003.1408105977
South,Gillnets,fall,large,a,33179.3820236539
North,Longlines,fall,large,a,12182.6004277702
North,Longlines,fall,large,a,11667.4495019254
North,Longlines,fall,large,a,13338.536044977
North,Longlines,fall,large,a,8131.27798959724
North,Longlines,fall,large,a,10471.560582452
North,Longlines,fall,large,a,8768.65368540864
North,Longlines,fall,large,a,11323.8355732158
North,Longlines,fall,large,a,11599.7770218362
North,Longlines,fall,large,a,9033.93866278868
North,Longlines,fall,large,a,12442.5674978763
South,Longlines,fall,large,a,12508.7061841062
South,Longlines,fall,large,a,9848.65345066308
South,Longlines,fall,large,a,12394.4173265278
South,Longlines,fall,large,a,8460.20120211448
South,Longlines,fall,large,a,11726.27437007
South,Longlines,fall,large,a,15438.0405629707
South,Longlines,fall,large,a,12255.0628861417
South,Longlines,fall,large,a,12471.3945985609
South,Longlines,fall,large,a,8640.17244280736
South,Longlines,fall,large,a,9160.83205802386
North,Trawlers,fall,large,a,7414.83058802366
North,Trawlers,fall,large,a,5603.43722632108
North,Trawlers,fall,large,a,8372.7981452326
North,Trawlers,fall,large,a,8492.85299294079
North,Trawlers,fall,large,a,9246.42403777137
North,Trawlers,fall,large,a,7913.4379398407
North,Trawlers,fall,large,a,7234.39350537469
North,Trawlers,fall,large,a,6448.57909830905
North,Trawlers,fall,large,a,7744.5717504443
North,Trawlers,fall,large,a,5643.0518408553
South,Trawlers,fall,large,a,5731.24665006965
South,Trawlers,fall,large,a,6940.55968450415
South,Trawlers,fall,large,a,5581.47504358059
South,Trawlers,fall,large,a,8132.02663104171
South,Trawlers,fall,large,a,6378.30360149079
South,Trawlers,fall,large,a,6196.41553689411
South,Trawlers,fall,large,a,5266.17534557684
South,Trawlers,fall,large,a,6069.53644520066
South,Trawlers,fall,large,a,7443.93077585011
South,Trawlers,fall,large,a,7875.3717864366
North,Gillnets,winter,small,b,55424.1240932019
North,Gillnets,winter,small,b,34111.3900252996
North,Gillnets,winter,small,b,42337.2097462345
North,Gillnets,winter,small,b,61408.9728656431
North,Gillnets,winter,small,b,49416.688300667
North,Gillnets,winter,small,b,36820.1654312116
North,Gillnets,winter,small,b,55875.0560049003
North,Gillnets,winter,small,b,57359.2459948103
North,Gillnets,winter,small,b,50217.6927664464
North,Gillnets,winter,small,b,33231.5566951142
South,Gillnets,winter,small,b,25531.4628528746
South,Gillnets,winter,small,b,14628.5916400808
South,Gillnets,winter,small,b,30895.8135107648
South,Gillnets,winter,small,b,16462.4779567219
South,Gillnets,winter,small,b,19769.6060594581
South,Gillnets,winter,small,b,12593.0710521048
South,Gillnets,winter,small,b,32489.7690468683
South,Gillnets,winter,small,b,20795.07266284
South,Gillnets,winter,small,b,24997.103743099
South,Gillnets,winter,small,b,20111.1187259694
North,Longlines,winter,small,b,11309.8146210984
North,Longlines,winter,small,b,11631.2593960101
North,Longlines,winter,small,b,9426.03688830017
North,Longlines,winter,small,b,11341.1433645393
North,Longlines,winter,small,b,8026.68821735801
North,Longlines,winter,small,b,8900.96544551834
North,Longlines,winter,small,b,9426.22706559501
North,Longlines,winter,small,b,11632.3671513662
North,Longlines,winter,small,b,11514.9368413917
North,Longlines,winter,small,b,8903.12961789605
South,Longlines,winter,small,b,12105.9886484
South,Longlines,winter,small,b,8054.96611627297
South,Longlines,winter,small,b,10695.5245948413
South,Longlines,winter,small,b,7929.32944294459
South,Longlines,winter,small,b,7572.91907809577
South,Longlines,winter,small,b,9526.34038072413
South,Longlines,winter,small,b,8679.53157028175
South,Longlines,winter,small,b,10184.5749822182
South,Longlines,winter,small,b,8307.23048241308
South,Longlines,winter,small,b,10457.528819258
North,Trawlers,winter,small,b,8278.2547079515
North,Trawlers,winter,small,b,4066.12078015509
North,Trawlers,winter,small,b,6710.52394917196
North,Trawlers,winter,small,b,6227.83280997758
North,Trawlers,winter,small,b,8864.43171109175
North,Trawlers,winter,small,b,6861.67493211092
North,Trawlers,winter,small,b,5610.50669871499
North,Trawlers,winter,small,b,8165.00083508717
North,Trawlers,winter,small,b,6354.85173965495
North,Trawlers,winter,small,b,6507.88920944042
South,Trawlers,winter,small,b,6741.37739122943
South,Trawlers,winter,small,b,6768.12553142928
South,Trawlers,winter,small,b,5733.30609256011
South,Trawlers,winter,small,b,5078.20353007807
South,Trawlers,winter,small,b,7917.56358957811
South,Trawlers,winter,small,b,5168.34208759887
South,Trawlers,winter,small,b,5269.89866620999
South,Trawlers,winter,small,b,5139.71853301612
South,Trawlers,winter,small,b,6341.54461904757
South,Trawlers,winter,small,b,6611.91481483455
North,Gillnets,spring,small,b,73499.7585947754
North,Gillnets,spring,small,b,136019.562166589
North,Gillnets,spring,small,b,103944.63047615
North,Gillnets,spring,small,b,147042.067394137
North,Gillnets,spring,small,b,126306.101942308
North,Gillnets,spring,small,b,119805.299229262
North,Gillnets,spring,small,b,114724.427654738
North,Gillnets,spring,small,b,108583.489418653
North,Gillnets,spring,small,b,124432.15653633
North,Gillnets,spring,small,b,94524.6118658578
South,Gillnets,spring,small,b,45380.3147524327
South,Gillnets,spring,small,b,59329.0617593137
South,Gillnets,spring,small,b,46986.0644735742
South,Gillnets,spring,small,b,55183.9254171937
South,Gillnets,spring,small,b,50458.7128276696
South,Gillnets,spring,small,b,74167.1613527655
South,Gillnets,spring,small,b,59131.5472977158
South,Gillnets,spring,small,b,47692.8841047598
South,Gillnets,spring,small,b,56473.107012176
South,Gillnets,spring,small,b,61237.1782719238
North,Longlines,spring,small,b,18069.6072395834
North,Longlines,spring,small,b,20210.2472068074
North,Longlines,spring,small,b,19508.370163502
North,Longlines,spring,small,b,17104.1263967595
North,Longlines,spring,small,b,20295.0949599323
North,Longlines,spring,small,b,26884.2290503653
North,Longlines,spring,small,b,18532.6048455383
North,Longlines,spring,small,b,15301.0870637463
North,Longlines,spring,small,b,21220.5587434711
North,Longlines,spring,small,b,22052.8824080398
South,Longlines,spring,small,b,22439.0125000016
South,Longlines,spring,small,b,17619.7798914013
South,Longlines,spring,small,b,17868.2867931796
South,Longlines,spring,small,b,12005.0300943483
South,Longlines,spring,small,b,24344.7821528278
South,Longlines,spring,small,b,18879.0333609931
South,Longlines,spring,small,b,20509.9306910965
South,Longlines,spring,small,b,16369.8434051263
South,Longlines,spring,small,b,20527.4913381889
South,Longlines,spring,small,b,18511.6064393436
North,Trawlers,spring,small,b,8246.20179352967
North,Trawlers,spring,small,b,6881.81414446072
North,Trawlers,spring,small,b,8546.0973839942
North,Trawlers,spring,small,b,5759.4409060357
North,Trawlers,spring,small,b,8293.46985943728
North,Trawlers,spring,small,b,9445.1078817209
North,Trawlers,spring,small,b,5299.61476711592
North,Trawlers,spring,small,b,7897.87636056582
North,Trawlers,spring,small,b,6140.59295217996
North,Trawlers,spring,small,b,5862.49950845108
South,Trawlers,spring,small,b,8114.21916969237
South,Trawlers,spring,small,b,5515.58103078872
South,Trawlers,spring,small,b,6869.57318037894
South,Trawlers,spring,small,b,7163.4927717987
South,Trawlers,spring,small,b,8294.47669574821
South,Trawlers,spring,small,b,8910.16605338891
South,Trawlers,spring,small,b,7496.49505489606
South,Trawlers,spring,small,b,7798.46451810735
South,Trawlers,spring,small,b,8121.50254126715
South,Trawlers,spring,small,b,6329.02708978988
North,Gillnets,summer,small,b,43231.4129814405
North,Gillnets,summer,small,b,56576.4063444801
North,Gillnets,summer,small,b,49525.8943994689
North,Gillnets,summer,small,b,55156.0809638519
North,Gillnets,summer,small,b,65471.1639976638
North,Gillnets,summer,small,b,67527.342196325
North,Gillnets,summer,small,b,56475.3223571811
North,Gillnets,summer,small,b,55331.0747691865
North,Gillnets,summer,small,b,41423.7665033742
North,Gillnets,summer,small,b,50399.630747171
South,Gillnets,summer,small,b,25802.6472395488
South,Gillnets,summer,small,b,24439.0141047966
South,Gillnets,summer,small,b,19396.6479712778
South,Gillnets,summer,small,b,30518.4392520788
South,Gillnets,summer,small,b,34179.3837855129
South,Gillnets,summer,small,b,21733.5377622161
South,Gillnets,summer,small,b,31408.3977006217
South,Gillnets,summer,small,b,16646.5096003835
