species,region,gear,season,vessel_size,area,days,n_ind
J,North,Gillnets,spring,small,a,195.166196119479,0
A,South,Gillnets,spring,small,a,94.495978448106,0
B,South,Gillnets,spring,small,a,150.464922030494,0
C,South,Gillnets,spring,small,a,171.200725381715,2
D,South,Gillnets,spring,small,a,144.370349217658,16
E,South,Gillnets,spring,small,a,140.214474673554,0
F,South,Gillnets,spring,small,a,187.370725401998,0
G,South,Gillnets,spring,small,a,151.446751899577,0
H,South,Gillnets,spring,small,a,138.515309025689,0
I,South,Gillnets,spring,small,a,215.667138282655,0
J,South,Gillnets,spring,small,a,125.259609699696,0
A,North,Longlines,spring,small,a,90.447742471312,1
B,North,Longlines,spring,small,a,120.259477277668,0
C,North,Longlines,spring,small,a,139.34524173585,0
D,North,Longlines,spring,small,a,85.575305537079,0
E,North,Longlines,spring,small,a,172.039596257246,0
F,North,Longlines,spring,small,a,117.432571113377,0
G,North,Longlines,spring,small,a,144.895234424139,2
H,North,Longlines,spring,small,a,232.470884976995,0
I,North,Longlines,spring,small,a,196.251598848899,0
J,North,Longlines,spring,small,a,131.189949402914,0
A,South,Longlines,spring,small,a,135.943278773514,1
B,South,Longlines,spring,small,a,205.795363243411,0
C,South,Longlines,spring,small,a,94.2050911784205,13
D,South,Longlines,spring,small,a,94.9283366111665,0
E,South,Longlines,spring,small,a,175.420169275472,0
F,South,Longlines,spring,small,a,170.025405993933,7
G,South,Longlines,spring,small,a,141.805947875545,1
H,South,Longlines,spring,small,a,107.202297712858,0
I,South,Longlines,spring,small,a,180.390641227887,0
J,South,Longlines,spring,small,a,250.329127391282,0
A,North,Trawlers,spring,small,a,330.146316595321,0
B,North,Trawlers,spring,small,a,472.511100209715,0
C,North,Trawlers,spring,small,a,359.072404624046,6
D,North,Trawlers,spring,small,a,400.410761286294,728
E,North,Trawlers,spring,small,a,357.014874897007,596
F,North,Trawlers,spring,small,a,394.420776493468,1
G,North,Trawlers,spring,small,a,401.374592565018,1
H,North,Trawlers,spring,small,a,254.685685577717,0
I,North,Trawlers,spring,small,a,480.690275710678,0
J,North,Trawlers,spring,small,a,415.015571388865,0
A,South,Trawlers,spring,small,a,483.884263721505,0
B,South,Trawlers,spring,small,a,322.349581629181,0
C,South,Trawlers,spring,small,a,414.386736323759,8
D,South,Trawlers,spring,small,a,465.005256021897,113
E,South,Trawlers,spring,small,a,396.320831914981,6
F,South,Trawlers,spring,small,a,372.533688235588,0
G,South,Trawlers,spring,small,a,514.453091676019,0
H,South,Trawlers,spring,small,a,189.04055617323,2
I,South,Trawlers,spring,small,a,337.126278478691,0
J,South,Trawlers,spring,small,a,602.17748163998,0
A,North,Gillnets,summer,small,a,102.981015246541,1
B,North,Gillnets,summer,small,a,223.188401838191,0
C,North,Gillnets,summer,small,a,174.096141330949,0
D,North,Gillnets,summer,small,a,219.550749924991,106
E,North,Gillnets,summer,small,a,162.524665690506,1
F,North,Gillnets,summer,small,a,173.582242272196,10
G,North,Gillnets,summer,small,a,153.070361827215,0
H,North,Gillnets,summer,small,a,191.014089932631,0
I,North,Gillnets,summer,small,a,135.251967555574,0
J,North,Gillnets,summer,small,a,113.346333719421,0
A,South,Gillnets,summer,small,a,150.1138527327,4
B,South,Gillnets,summer,small,a,163.011036421044,0
C,South,Gillnets,summer,small,a,145.586529949325,1
D,South,Gillnets,summer,small,a,116.726172920886,15
E,South,Gillnets,summer,small,a,165.450159214508,0
F,South,Gillnets,summer,small,a,118.287739898,12
G,South,Gillnets,summer,small,a,192.427718960968,0
H,South,Gillnets,summer,small,a,204.994138510127,0
I,South,Gillnets,summer,small,a,204.646084691534,2
J,South,Gillnets,summer,small,a,164.623148735096,0
A,North,Longlines,summer,small,a,166.671170873942,0
B,North,Longlines,summer,small,a,150.11366179359,0
C,North,Longlines,summer,small,a,196.805644218771,6
D,North,Longlines,summer,small,a,137.351491395184,0
E,North,Longlines,summer,small,a,163.238175120446,0
F,North,Longlines,summer,small,a,201.235258024458,172
G,North,Longlines,summer,small,a,243.770444914208,0
H,North,Longlines,summer,small,a,207.699049605024,10
I,North,Longlines,summer,small,a,145.658637972895,0
J,North,Longlines,summer,small,a,132.410922367274,0
A,South,Longlines,summer,small,a,173.703546722954,1
B,South,Longlines,summer,small,a,118.266649151551,0
C,South,Longlines,summer,small,a,160.661370444058,1
D,South,Longlines,summer,small,a,186.213358474685,0
E,South,Longlines,summer,small,a,213.431598493099,0
F,South,Longlines,summer,small,a,63.5376962016323,1
G,South,Longlines,summer,small,a,220.229347985921,0
H,South,Longlines,summer,small,a,115.697479689034,1
I,South,Longlines,summer,small,a,177.119651652359,0
J,South,Longlines,summer,small,a,150.647127794834,0
A,North,Trawlers,summer,small,a,370.572512432994,0
B,North,Trawlers,summer,small,a,273.22932292774,0
C,North,Trawlers,summer,small,a,436.564902668964,12
D,North,Trawlers,summer,small,a,461.178235805638,108
E,North,Trawlers,summer,small,a,411.271978632785,4
F,North,Trawlers,summer,small,a,384.442092810772,2
G,North,Trawlers,summer,small,a,260.334389383746,4
H,North,Trawlers,summer,small,a,274.665558338476,8
I,North,Trawlers,summer,small,a,306.443531112886,0
J,North,Trawlers,summer,small,a,278.297555005078,0
A,South,Trawlers,summer,small,a,229.604330286211,0
B,South,Trawlers,summer,small,a,326.43428896249,0
C,South,Trawlers,summer,small,a,366.636564434815,14
D,South,Trawlers,summer,small,a,347.59251745319,12
E,South,Trawlers,summer,small,a,396.09034977506,1
F,South,Trawlers,summer,small,a,513.649155964971,1
G,South,Trawlers,summer,small,a,599.472148236206,46
H,South,Trawlers,summer,small,a,474.345501378612,2
I,South,Trawlers,summer,small,a,475.195428670946,0
J,South,Trawlers,summer,small,a,240.815041134242,0
A,North,Gillnets,fall,small,a,0,0
B,North,Gillnets,fall,small,a,0,0
C,North,Gillnets,fall,small,a,0,0
D,North,Gillnets,fall,small,a,0,0
E,North,Gillnets,fall,small,a,0,0
F,North,Gillnets,fall,small,a,0,0
G,North,Gillnets,fall,small,a,0,0
H,North,Gillnets,fall,small,a,0,0
I,North,Gillnets,fall,small,a,0,0
J,North,Gillnets,fall,small,a,0,0
A,South,Gillnets,fall,small,a,0,0
B,South,Gillnets,fall,small,a,0,0
C,South,Gillnets,fall,small,a,0,0
D,South,Gillnets,fall,small,a,0,0
E,South,Gillnets,fall,small,a,0,0
F,South,Gillnets,fall,small,a,0,0
G,South,Gillnets,fall,small,a,0,0
H,South,Gillnets,fall,small,a,0,0
I,South,Gillnets,fall,small,a,0,0
J,South,Gillnets,fall,small,a,0,0
A,North,Longlines,fall,small,a,123.80931293278,14
B,North,Longlines,fall,small,a,160.576911072496,0
C,North,Longlines,fall,small,a,136.861439101511,3
D,North,Longlines,fall,small,a,172.814043864459,0
E,North,Longlines,fall,small,a,24.6837100465588,0
F,North,Longlines,fall,small,a,162.94776937301,2
G,North,Longlines,fall,small,a,189.196729461217,1
H,North,Longlines,fall,small,a,127.286487654428,0
I,North,Longlines,fall,small,a,142.028131125092,0
J,North,Longlines,fall,small,a,86.657091724113,0
A,South,Longlines,fall,small,a,138.215715677952,0
B,South,Longlines,fall,small,a,144.708223293132,1
C,South,Longlines,fall,small,a,145.792940858094,2
D,South,Longlines,fall,small,a,158.521511416628,0
E,South,Longlines,fall,small,a,164.711010676091,0
F,South,Longlines,fall,small,a,136.228888223315,2
G,South,Longlines,fall,small,a,182.256618092888,0
H,South,Longlines,fall,small,a,123.740858256416,0
I,South,Longlines,fall,small,a,152.660067096302,0
J,South,Longlines,fall,small,a,173.944773082982,0
A,North,Trawlers,fall,small,a,291.125815105699,0
B,North,Trawlers,fall,small,a,309.157350291899,1
C,North,Trawlers,fall,small,a,310.775868729005,2
D,North,Trawlers,fall,small,a,428.691023026087,863
E,North,Trawlers,fall,small,a,427.001495036365,14
F,North,Trawlers,fall,small,a,343.743040014376,0
G,North,Trawlers,fall,small,a,391.865304573776,2
H,North,Trawlers,fall,small,a,403.70650006325,7
I,North,Trawlers,fall,small,a,409.18275872666,0
J,North,Trawlers,fall,small,a,401.952467540761,0
A,South,Trawlers,fall,small,a,261.539947501074,1
B,South,Trawlers,fall,small,a,351.225081801237,0
C,South,Trawlers,fall,small,a,469.899488949215,1
D,South,Trawlers,fall,small,a,379.071159243857,463
E,South,Trawlers,fall,small,a,379.218003905053,9
F,South,Trawlers,fall,small,a,413.921662855998,0
G,South,Trawlers,fall,small,a,448.874254159383,6
H,South,Trawlers,fall,small,a,294.834212172186,0
I,South,Trawlers,fall,small,a,282.467112159759,0
J,South,Trawlers,fall,small,a,426.358644965982,0
A,North,Gillnets,winter,large,a,91.8107007237656,10
B,North,Gillnets,winter,large,a,109.111480812996,31
C,North,Gillnets,winter,large,a,45.625971339542,0
D,North,Gillnets,winter,large,a,65.0581505993774,0
E,North,Gillnets,winter,large,a,85.3197094818427,4
F,North,Gillnets,winter,large,a,105.202240544385,0
G,North,Gillnets,winter,large,a,69.1684541805207,0
H,North,Gillnets,winter,large,a,76.5973908160146,3
I,North,Gillnets,winter,large,a,88.4955488818852,0
J,North,Gillnets,winter,large,a,57.4087716660525,0
A,South,Gillnets,winter,large,a,77.6314630023761,7
B,South,Gillnets,winter,large,a,97.4218709637287,11
C,South,Gillnets,winter,large,a,65.9723613312863,0
D,South,Gillnets,winter,large,a,64.4999632762804,60
E,South,Gillnets,winter,large,a,58.6228337643194,3
F,South,Gillnets,winter,large,a,74.7195091629676,0
G,South,Gillnets,winter,large,a,72.8713319047048,0
H,South,Gillnets,winter,large,a,90.4516636919487,0
I,South,Gillnets,winter,large,a,60.090699156567,0
J,South,Gillnets,winter,large,a,57.6649277300132,0
A,North,Longlines,winter,large,a,94.974997903526,137
B,North,Longlines,winter,large,a,69.1702524346362,21
C,North,Longlines,winter,large,a,77.803832937235,25
D,North,Longlines,winter,large,a,95.45625539364,0
E,North,Longlines,winter,large,a,92.3034312026073,0
F,North,Longlines,winter,large,a,64.3272184838917,0
G,North,Longlines,winter,large,a,78.6351343105982,1
H,North,Longlines,winter,large,a,65.0407817652424,0
I,North,Longlines,winter,large,a,61.2069395909956,0
J,North,Longlines,winter,large,a,41.855088201274,0
A,South,Longlines,winter,large,a,88.7805367075998,3
B,South,Longlines,winter,large,a,88.1750629645761,26
C,South,Longlines,winter,large,a,80.3148237553132,14
D,South,Longlines,winter,large,a,57.0904320336757,0
E,South,Longlines,winter,large,a,91.9179537657202,0
F,South,Longlines,winter,large,a,89.7280561034055,0
G,South,Longlines,winter,large,a,85.6398962365553,0
H,South,Longlines,winter,large,a,72.5702284883603,0
I,South,Longlines,winter,large,a,79.1263849780128,0
J,South,Longlines,winter,large,a,55.9071212313521,0
A,North,Trawlers,winter,large,a,154.529725371027,0
B,North,Trawlers,winter,large,a,162.206796054875,2
C,North,Trawlers,winter,large,a,140.988407464523,3
D,North,Trawlers,winter,large,a,239.970582748717,906
E,North,Trawlers,winter,large,a,116.605850146129,9
F,North,Trawlers,winter,large,a,160.091111003636,0
G,North,Trawlers,winter,large,a,153.753482544575,0
H,North,Trawlers,winter,large,a,211.234834309363,11
I,North,Trawlers,winter,large,a,154.321981222876,0
J,North,Trawlers,winter,large,a,263.040467412423,0
A,South,Trawlers,winter,large,a,194.626555885826,0
B,South,Trawlers,winter,large,a,221.27008499709,32
C,South,Trawlers,winter,large,a,158.294772624278,6
D,South,Trawlers,winter,large,a,170.414444399149,356
E,South,Trawlers,winter,large,a,244.365942472694,4
F,South,Trawlers,winter,large,a,168.933140916084,0
G,South,Trawlers,winter,large,a,227.419819955243,2
H,South,Trawlers,winter,large,a,173.832731037838,3
I,South,Trawlers,winter,large,a,138.075101884533,0
J,South,Trawlers,winter,large,a,119.914166254704,0
A,North,Gillnets,spring,large,a,168.362552398721,8
B,North,Gillnets,spring,large,a,142.404279892334,4
C,North,Gillnets,spring,large,a,116.830559772853,0
D,North,Gillnets,spring,large,a,97.9386083570347,0
E,North,Gillnets,spring,large,a,202.953366818901,2
F,North,Gillnets,spring,large,a,97.0922779261855,1
G,North,Gillnets,spring,large,a,182.220231667457,0
H,North,Gillnets,spring,large,a,188.180896305729,5
I,North,Gillnets,spring,large,a,154.037608682919,0
J,North,Gillnets,spring,large,a,177.071080007181,0
A,South,Gillnets,spring,large,a,181.574270196498,1
B,South,Gillnets,spring,large,a,82.3904253813602,0
C,South,Gillnets,spring,large,a,210.955415937954,2
D,South,Gillnets,spring,large,a,182.239721747399,0
E,South,Gillnets,spring,large,a,138.785481479021,0
F,South,Gillnets,spring,large,a,100.760275282366,0
G,South,Gillnets,spring,large,a,179.724656623607,0
H,South,Gillnets,spring,large,a,158.373064055308,0
I,South,Gillnets,spring,large,a,106.074889478991,0
J,South,Gillnets,spring,large,a,164.849693056363,0
A,North,Longlines,spring,large,a,209.932266853719,29
B,North,Longlines,spring,large,a,121.681314374187,0
C,North,Longlines,spring,large,a,89.0542635450687,3
D,North,Longlines,spring,large,a,94.2240592331157,0
E,North,Longlines,spring,large,a,152.759376949964,0
F,North,Longlines,spring,large,a,159.499544309998,0
G,North,Longlines,spring,large,a,185.201776600931,2
H,North,Longlines,spring,large,a,92.2727957660143,1
I,North,Longlines,spring,large,a,160.639685226523,0
J,North,Longlines,spring,large,a,200.133762886772,0
A,South,Longlines,spring,large,a,52.4718356623007,0
B,South,Longlines,spring,large,a,186.398026901754,2
C,South,Longlines,spring,large,a,149.284395343574,7
D,South,Longlines,spring,large,a,148.048724114358,0
E,South,Longlines,spring,large,a,169.248720062368,0
F,South,Longlines,spring,large,a,100.361667359037,1
G,South,Longlines,spring,large,a,159.46002310606,5
H,South,Longlines,spring,large,a,123.100794877322,0
I,South,Longlines,spring,large,a,146.744981390514,0
J,South,Longlines,spring,large,a,120.871487176828,0
A,North,Trawlers,spring,large,a,308.107385575232,0
B,North,Trawlers,spring,large,a,609.584843718077,0
C,North,Trawlers,spring,large,a,100.889149580827,0
D,North,Trawlers,spring,large,a,509.573664072999,149
E,North,Trawlers,spring,large,a,166.02329156251,500
F,North,Trawlers,spring,large,a,391.432414629849,0
G,North,Trawlers,spring,large,a,280.733149284738,0
H,North,Trawlers,spring,large,a,298.457944956889,26
I,North,Trawlers,spring,large,a,343.782443517872,0
J,North,Trawlers,spring,large,a,446.161268166889,0
A,South,Trawlers,spring,large,a,407.387713809564,0
B,South,Trawlers,spring,large,a,206.266000132811,0
C,South,Trawlers,spring,large,a,379.593767685554,5
D,South,Trawlers,spring,large,a,439.212672935554,1748
E,South,Trawlers,spring,large,a,324.959822823469,14
F,South,Trawlers,spring,large,a,141.037170787002,0
G,South,Trawlers,spring,large,a,442.513666913366,0
H,South,Trawlers,spring,large,a,577.929177287393,4
I,South,Trawlers,spring,large,a,459.606387766907,0
J,South,Trawlers,spring,large,a,321.235588636246,0
A,North,Gillnets,summer,large,a,144.009056847583,3
B,North,Gillnets,summer,large,a,167.24216423639,2
C,North,Gillnets,summer,large,a,125.017191132222,1
D,North,Gillnets,summer,large,a,132.937304511226,0
E,North,Gillnets,summer,large,a,121.022601619518,43
F,North,Gillnets,summer,large,a,113.220546028849,0
G,North,Gillnets,summer,large,a,141.364195037216,0
H,North,Gillnets,summer,large,a,156.673833732671,2
I,North,Gillnets,summer,large,a,125.076373502273,0
J,North,Gillnets,summer,large,a,105.20783929244,0
A,South,Gillnets,summer,large,a,100.096323112227,3
B,South,Gillnets,summer,large,a,132.328912344504,0
C,South,Gillnets,summer,large,a,113.208072710818,0
D,South,Gillnets,summer,large,a,123.611221197986,127
E,South,Gillnets,summer,large,a,140.554863653666,0
F,South,Gillnets,summer,large,a,205.122332262698,0
G,South,Gillnets,summer,large,a,97.2976136279104,0
H,South,Gillnets,summer,large,a,162.334819299606,0
I,South,Gillnets,summer,large,a,65.0561760337665,0
J,South,Gillnets,summer,large,a,179.394725301803,0
A,North,Longlines,summer,large,a,149.057846012666,2
B,North,Longlines,summer,large,a,175.988296157929,2
C,North,Longlines,summer,large,a,113.100607524473,1
D,North,Longlines,summer,large,a,236.732104766665,0
E,North,Longlines,summer,large,a,83.0239989763392,0
F,North,Longlines,summer,large,a,152.101976607151,0
G,North,Longlines,summer,large,a,133.060595336849,0
H,North,Longlines,summer,large,a,149.580208230944,3
I,North,Longlines,summer,large,a,154.137260013943,0
J,North,Longlines,summer,large,a,103.447059423039,0
A,South,Longlines,summer,large,a,134.474035400551,0
B,South,Longlines,summer,large,a,120.365932777242,1
C,South,Longlines,summer,large,a,84.8293855970465,1
D,South,Longlines,summer,large,a,208.078117039397,0
E,South,Longlines,summer,large,a,135.115993597933,0
F,South,Longlines,summer,large,a,41.8900468440326,0
G,South,Longlines,summer,large,a,157.418074145748,0
H,South,Longlines,summer,large,a,45.9702247251929,0
I,South,Longlines,summer,large,a,151.791912924217,0
J,South,Longlines,summer,large,a,161.208445374237,0
A,North,Trawlers,summer,large,a,460.060634531554,0
B,North,Trawlers,summer,large,a,369.50028831567,1
C,North,Trawlers,summer,large,a,303.678363294076,0
D,North,Trawlers,summer,large,a,650.660358246122,2987
E,North,Trawlers,summer,large,a,350.832590636317,342
F,North,Trawlers,summer,large,a,284.989692882335,0
G,North,Trawlers,summer,large,a,199.255880896307,4
H,North,Trawlers,summer,large,a,420.706775407357,4
I,North,Trawlers,summer,large,a,298.286385452714,0
J,North,Trawlers,summer,large,a,363.679949360379,0
A,South,Trawlers,summer,large,a,405.012970258719,0
B,South,Trawlers,summer,large,a,283.229533285769,2
C,South,Trawlers,summer,large,a,424.993716541978,3
D,South,Trawlers,summer,large,a,256.520293150986,187
E,South,Trawlers,summer,large,a,458.067343770288,1
F,South,Trawlers,summer,large,a,347.544922828327,0
G,South,Trawlers,summer,large,a,284.025781558804,2
H,South,Trawlers,summer,large,a,445.847783389543,2
I,South,Trawlers,summer,large,a,393.687563382894,0
J,South,Trawlers,summer,large,a,417.838511673532,0
A,North,Gillnets,fall,large,a,0,0
B,North,Gillnets,fall,large,a,0,0
C,North,Gillnets,fall,large,a,0,0
D,North,Gillnets,fall,large,a,0,0
E,North,Gillnets,fall,large,a,0,0
F,North,Gillnets,fall,large,a,0,0
G,North,Gillnets,fall,large,a,0,0
H,North,Gillnets,fall,large,a,0,0
I,North,Gillnets,fall,large,a,0,0
J,North,Gillnets,fall,large,a,0,0
A,South,Gillnets,fall,large,a,0,0
B,South,Gillnets,fall,large,a,0,0
C,South,Gillnets,fall,large,a,0,0
D,South,Gillnets,fall,large,a,0,0
E,South,Gillnets,fall,large,a,0,0
F,South,Gillnets,fall,large,a,0,0
G,South,Gillnets,fall,large,a,0,0
H,South,Gillnets,fall,large,a,0,0
I,South,Gillnets,fall,large,a,0,0
J,South,Gillnets,fall,large,a,0,0
A,North,Longlines,fall,large,a,155.630395051774,9
B,North,Longlines,fall,large,a,145.672106745984,1
C,North,Longlines,fall,large,a,42.9643062759184,1
D,North,Longlines,fall,large,a,154.337893675803,0
E,North,Longlines,fall,large,a,133.976367074359,0
F,North,Longlines,fall,large,a,153.063421858534,1
G,North,Longlines,fall,large,a,219.774914585307,0
H,North,Longlines,fall,large,a,139.377949700099,0
I,North,Longlines,fall,large,a,223.012495474623,0
J,North,Longlines,fall,large,a,162.818266898813,0
A,South,Longlines,fall,large,a,148.045212344499,18
B,South,Longlines,fall,large,a,124.24618499548,0
C,South,Longlines,fall,large,a,148.910089897132,17
D,South,Longlines,fall,large,a,135.888460575086,0
E,South,Longlines,fall,large,a,167.072852630936,0
F,South,Longlines,fall,large,a,236.464304155083,0
G,South,Longlines,fall,large,a,126.698298050953,2
H,South,Longlines,fall,large,a,146.923230033456,0
I,South,Longlines,fall,large,a,98.9157834142406,0
J,South,Longlines,fall,large,a,149.240532328063,0
A,North,Trawlers,fall,large,a,452.89563600571,0
B,North,Trawlers,fall,large,a,397.833929087069,6
C,North,Trawlers,fall,large,a,402.259917553857,4
D,North,Trawlers,fall,large,a,404.073224990387,302
E,North,Trawlers,fall,large,a,422.376928240393,1
F,North,Trawlers,fall,large,a,525.358792634427,0
G,North,Trawlers,fall,large,a,320.529147128379,0
H,North,Trawlers,fall,large,a,452.254880073712,8
I,North,Trawlers,fall,large,a,411.360457171627,0
J,North,Trawlers,fall,large,a,437.67130878956,0
A,South,Trawlers,fall,large,a,357.117230968747,2
B,South,Trawlers,fall,large,a,229.852801289773,6
C,South,Trawlers,fall,large,a,315.174482839583,5
D,South,Trawlers,fall,large,a,407.636578447681,358
E,South,Trawlers,fall,large,a,256.447099381715,2
F,South,Trawlers,fall,large,a,402.01899843484,0
G,South,Trawlers,fall,large,a,426.268397030345,1
H,South,Trawlers,fall,large,a,389.756734549305,0
I,South,Trawlers,fall,large,a,175.067372994474,0
J,South,Trawlers,fall,large,a,297.55272848693,0
A,North,Gillnets,winter,small,b,68.1930614357292,17
B,North,Gillnets,winter,small,b,59.7080316523143,0
C,North,Gillnets,winter,small,b,102.034001842906,0
D,North,Gillnets,winter,small,b,38.8468213447832,5
E,North,Gillnets,winter,small,b,76.2472567495237,0
F,North,Gillnets,winter,small,b,61.5042713517825,3
G,North,Gillnets,winter,small,b,56.958935998678,0
H,North,Gillnets,winter,small,b,78.4067460811468,0
I,North,Gillnets,winter,small,b,67.6698412916139,0
J,North,Gillnets,winter,small,b,68.2717517815039,0
A,South,Gillnets,winter,small,b,59.1779406199848,73
B,South,Gillnets,winter,small,b,66.3679672027327,0
C,South,Gillnets,winter,small,b,82.9142384892665,1
D,South,Gillnets,winter,small,b,79.9260580327508,50
E,South,Gillnets,winter,small,b,54.4363054082646,0
F,South,Gillnets,winter,small,b,76.5986579547464,0
G,South,Gillnets,winter,small,b,69.8742777140211,0
H,South,Gillnets,winter,small,b,72.9509435672579,1
I,South,Gillnets,winter,small,b,82.8147386620243,0
J,South,Gillnets,winter,small,b,32.3912393185987,0
A,North,Longlines,winter,small,b,47.6966784021826,12
B,North,Longlines,winter,small,b,115.648550051009,0
C,North,Longlines,winter,small,b,74.1708664444667,19
D,North,Longlines,winter,small,b,55.528928148561,0
E,North,Longlines,winter,small,b,80.2409433672771,0
F,North,Longlines,winter,small,b,100.543553204444,2
G,North,Longlines,winter,small,b,69.8376043852096,0
H,North,Longlines,winter,small,b,74.9363947870016,0
I,North,Longlines,winter,small,b,60.1449739212405,0
J,North,Longlines,winter,small,b,74.1438988664633,0
A,South,Longlines,winter,small,b,68.2460088341466,3
B,South,Longlines,winter,small,b,56.4445368051527,2
C,South,Longlines,winter,small,b,124.743887947803,4
D,South,Longlines,winter,small,b,93.8354479879325,0
E,South,Longlines,winter,small,b,101.55939417392,0
F,South,Longlines,winter,small,b,85.5410629448033,3
G,South,Longlines,winter,small,b,110.127917204749,0
H,South,Longlines,winter,small,b,84.1481725478017,0
I,South,Longlines,winter,small,b,90.0801948009658,0
J,South,Longlines,winter,small,b,99.6680974329077,0
A,North,Trawlers,winter,small,b,159.574708316993,0
B,North,Trawlers,winter,small,b,177.855536320056,0
C,North,Trawlers,winter,small,b,261.427718242966,52
D,North,Trawlers,winter,small,b,189.205308552541,1
E,North,Trawlers,winter,small,b,202.232970987861,1
F,North,Trawlers,winter,small,b,123.981658016147,0
G,North,Trawlers,winter,small,b,194.624964330495,0
H,North,Trawlers,winter,small,b,212.37899894177,6
I,North,Trawlers,winter,small,b,200.453172674644,0
J,North,Trawlers,winter,small,b,170.961857139741,0
A,South,Trawlers,winter,small,b,92.7997754586687,1
B,South,Trawlers,winter,small,b,239.964259214936,3
C,South,Trawlers,winter,small,b,112.62558454805,0
D,South,Trawlers,winter,small,b,194.938969958368,461
E,South,Trawlers,winter,small,b,147.384189771427,0
F,South,Trawlers,winter,small,b,195.339743104242,0
G,South,Trawlers,winter,small,b,247.004403044859,0
H,South,Trawlers,winter,small,b,111.409845109794,1
I,South,Trawlers,winter,small,b,157.312272470295,0
J,South,Trawlers,winter,small,b,161.218844065961,0
A,North,Gillnets,spring,small,b,136.761093954645,29
B,North,Gillnets,spring,small,b,176.842328201509,1
C,North,Gillnets,spring,small,b,123.353590918555,1
D,North,Gillnets,spring,small,b,171.125533967048,13
E,North,Gillnets,spring,small,b,205.821370057847,0
F,North,Gillnets,spring,small,b,192.775041076523,0
